'VmPeak','VmSize','VmHWM','VmRSS','VmPTE','Threads','MemFree','Buffers','Cached','Active','Inactive','Dirty','Writeback','AnonPages','Mapped','Slab','PageTables','Committed_AS','NumOfAllocFH','proc-fd','avgThroughput','avgElapsed','avgLatency','Errors',Principale1,Principale2,Principale3,Principale4,Cluster
172388,170340,32156,31912,200,38,4667596,100392,1117036,0,407640,893988,4667596,8159224,156,0,84216,23740,108956,7208,314724,1530,0,2,"-2,488134163","-0,360100198","0,0312612423","0,0286708971",6
172388,170340,32156,31912,200,28,4667180,100488,1117036,0,407632,894092,4667180,8159224,164,0,84208,23740,109088,7208,316884,1530,0,2,"-2,46622733","-0,372347909","0,054681918","0,0235172541",6
172388,170340,32156,31912,200,9,4667208,100584,1117036,0,407640,894192,4667208,8159224,36,0,84212,23740,108952,7208,316756,1530,0,2,"-2,561153235","-0,446867058","0,0847117064","0,0113684246",6
172388,170340,32156,31928,200,9,4667456,100676,1117036,0,407656,894284,4667456,8159224,40,0,84228,23740,109008,7208,316676,1530,0,2,"-2,560802307","-0,448230648","0,0849969344","0,0113174852",6
172388,170340,32156,31928,200,60,4666924,100780,1117036,0,407656,894380,4666924,8159224,24,0,84228,23740,109132,7208,314420,1530,0,2,"-2,382662475","-0,290314788","-0,017762842","0,0421980487",6
172388,170340,32156,31928,200,48,4666280,100876,1117036,0,407656,894484,4666280,8159224,44,0,84228,23740,108972,7204,314216,1530,0,2,"-2,455289109","-0,354941838","-0,013727533","0,0341997257",6
172388,170340,32156,31928,200,33,4666888,100972,1117036,0,407652,894572,4666888,8159224,32,0,84224,23740,109000,7204,316300,1530,0,2,"-2,464678785","-0,380020103","0,01676725","0,0258252926",6
172388,170340,32156,31928,200,18,4666768,101068,1117036,0,407656,894676,4666768,8159224,164,0,84228,23740,109032,7208,316300,1530,0,2,"-2,523053493","-0,42454158","0,0740047174","0,0165835205",6
172388,170340,32156,31928,200,10,4666940,101156,1117036,0,407652,894764,4666940,8159224,152,0,84224,23740,108984,7208,316096,1020,0,2,"-2,384130607","-0,287173756","-0,117843015","-0,043519741",6
172388,170340,32156,31928,200,9,4666468,101260,1117036,0,407652,894868,4666468,8159224,32,0,84224,23740,108984,7208,316096,510,0,2,"-2,202621292","-0,124619785","-0,328030384","-0,099123088",6
172388,170340,32156,31928,200,62,4666292,101356,1117036,0,407652,894964,4666292,8159224,36,0,84224,23740,108916,7208,316096,510,0,2,"-1,953066121","0,084746762","-0,433893949","-0,065879965",6
172388,170340,32156,31928,200,50,4666636,101440,1117036,0,407656,895048,4666636,8159224,40,0,84228,23740,109064,7204,315856,510,0,2,"-2,023908237","0,0148210122","-0,429057507","-0,073733036",6
